symptom_key,aliases,display_name,category,tip_1,tip_2,tip_3,tip_4,when_to_seek_care,active
headache,"headache|sakit ulo|masakit ang ulo|masakit ulo|ulo ko|head pain|migraine|migrena|head ache|tension headache","Headache",neurological,"Rest in a quiet, dim room and start self-care as soon as symptoms begin.","Drink water regularly — mild dehydration commonly worsens headache.","A cool cloth on the forehead or gentle neck/shoulder stretches may help.","If appropriate for you, use a labeled over-the-counter pain reliever exactly as directed; avoid using pain medicine most days of the week without advice.","Seek care sooner if headache is sudden/severe, with neck stiffness, vision changes, weakness, confusion, vomiting, fever, or after a head injury.",1
fever,"fever|lagnat|hilanat|mainit ang lawas|high temperature|pyrexia|nagliinig|chills|gininig","Fever",general,"Rest and drink extra fluids (water, ORS, clear broths) to prevent dehydration.","Wear light clothing and keep the room cool; a lukewarm sponge bath may help comfort after fever medicine if needed.","Check temperature again after a few hours and note other symptoms.","Adult fever medicine (as labeled) may be used for comfort if no allergy or medical warning; avoid aspirin in children and teens.","Seek care if fever is very high, lasts >3 days, with stiff neck, rash, breathing trouble, confusion, severe pain, seizure, or in infants/pregnant patients.",1
cough,"cough|ubo|nagaubo|dry cough|productive cough|hacking cough|night cough","Cough",respiratory,"Sip warm caffeine-free fluids (water, tea, caldo) to soothe the throat and loosen mucus.","Use honey in warm water for adults/older children if no allergy (not for infants under 1 year).","Avoid smoke, strong scents, and dusty areas; prop your head with pillows at night if coughing interrupts sleep.","OTC cough medicines are optional and not for young children — treat each symptom separately and follow age/label limits.","Seek care if cough lasts >2 weeks, with blood, chest pain, high fever, wheezing, or shortness of breath.",1
cold_flu_like,"cold|colds|sipon|trangkaso|flu-like|runny nose|baradong ilong|stuffy nose|sneezing|bahing|sip-on|uri|upper respiratory","Common cold / runny nose",respiratory,"Rest, sleep, and drink plenty of caffeine-free fluids to thin mucus.","Saline nose spray/drops or brief steam (not scalding) can ease stuffiness.","Blow the nose gently; wash hands often; sneeze into a tissue or elbow.","Avoid leftover antibiotics — colds are usually viral; treat each symptom with labeled OTC options only if suitable for your age.","Seek care if symptoms worsen after about 10 days, or with difficulty breathing, sudden chest pain, severe vomiting, high fever, or strange/confused behavior.",1
sore_throat,"sore throat|sakit sa tutunlan|masakit lalamunan|masakit ang lalamunan|tunlan|throat pain|pharyngitis","Sore throat",respiratory,"Gargle with warm salt water several times a day if able.","Drink warm fluids and avoid very hot, acidic, or spicy drinks.","Use a humidifier or sit in a steamy bathroom briefly to moisten the throat.","Rest your voice and consider lozenges/honey for adults if appropriate.","Seek care if you cannot swallow liquids, have drooling, high fever, rash, or breathing difficulty.",1
abdominal_pain,"stomach ache|stomachache|sakit tiyan|masakit tiyan|sakit ang tiyan|abdominal pain|tiyan ko|gastro pain|gas pain","Stomach ache",gastrointestinal,"Eat light bland foods (rice, banana, toast) and avoid greasy/spicy meals for a day.","Sip water or ORS slowly; avoid large amounts of soda or coffee.","Rest upright after meals; a warm compress on the abdomen may ease mild cramps.","Do not take leftover prescription medicines without clinician advice.","Seek care for severe pain, persistent vomiting, blood in stool/vomit, rigid abdomen, pregnancy, or pain with fever.",1
diarrhea,"diarrhea|diarrhoea|paglibang|taliq|nagaibot|loose stool|frequent bowel","Diarrhea",gastrointestinal,"Start oral rehydration (ORS) or clear fluids frequently in small sips.","Continue light foods when able; avoid oily, very sweet, or dairy-heavy meals temporarily.","Wash hands after toilet use and before eating to prevent spread.","OTC anti-diarrheal medicines are not advised if you have fever or bloody stools — ask a pharmacist/clinician first.","Seek care if diarrhea lasts >2 days in children or ~5 days in adults, with blood, high fever, severe pain, dehydration signs, or inability to keep fluids down.",1
constipation,"constipation|matigas ang tae|hirap tumae|stool locked|walang tae","Constipation",gastrointestinal,"Increase water intake through the day unless fluid-restricted by your clinician.","Add fiber-rich foods (fruits, vegetables, whole grains) gradually.","Stay lightly active (walking) to help bowel movement.","Do not overuse strong laxatives; ask a pharmacist/clinician if needed.","Seek care for severe pain, vomiting, blood in stool, or no bowel movement for several days with swelling.",1
nausea_vomiting,"nausea|vomiting|sumerko|nagsusuka|ginagahab|gutom na sakit|queasy","Nausea / mild vomiting",gastrointestinal,"Sip clear fluids slowly (water, ORS, ice chips) rather than drinking quickly.","Rest sitting upright; avoid strong smells and greasy foods.","Try bland foods later (crackers, toast, rice) once vomiting settles.","Avoid alcohol and new medicines unless advised.","Seek care if vomiting is persistent, with blood, severe abdominal pain, dehydration, or after a head injury.",1
dizziness,"dizziness|dizzy|lipong|nahihilo|hilo|lightheaded|vertigo mild","Mild dizziness",neurological,"Sit or lie down immediately until the spinning/lightheaded feeling passes.","Stand up slowly; hold onto support when rising.","Drink water and avoid skipping meals.","Rest in a safe place and avoid driving or climbing while dizzy.","Seek care for sudden severe dizziness with chest pain, fainting, weakness, speech trouble, or after injury.",1
